date,position_change,capital_change,positions,capital_deployed
2021-10-07,0,-60.72253412160376,5,2220.7071252558126
2021-10-08,0,-17.25552095795706,5,2203.4516042978557
2021-10-11,0,-27.371017167990885,5,2176.080587129865
2021-10-13,0,-5.803872077003689,5,2170.276715052861
2021-10-14,0,-23.0132558004143,5,2147.263459252447
2021-10-15,0,-66.0870150204928,5,2081.176444231954
2021-10-18,0,116.88630065312122,5,2198.0627448850755
2021-10-19,0,-115.35544130606058,5,2082.707303579015
2021-10-21,0,-26.344439719298634,5,2056.3628638597165
2021-10-22,0,108.61213011993823,5,2164.9749939796548
2021-10-25,0,-64.87310236368239,5,2100.1018916159724
2021-10-26,0,13.417827438220456,5,2113.519719054193
2021-10-28,-1,-1885.219926676235,4,228.29979237795806
2021-10-29,1,1903.942174004713,5,2132.2419663826713
2021-11-01,0,-269.02927608289224,5,1863.212690299779
2021-11-02,0,-95.50345309190288,5,1767.7092372078762
2021-11-03,0,-4.72390973047095,5,1762.9853274774052
2021-11-04,0,71.6604533618588,5,1834.645780839264
2021-11-05,-1,-1718.351592779716,4,116.2941880595481
2021-11-08,1,2039.428351759528,5,2155.722539819076
2021-11-10,-1,-2073.1406677843456,4,82.58187203473017
2021-11-11,0,-19.067970389164657,4,63.51390164556551
2021-11-12,1,2017.7353925964142,5,2081.2492942419794
2021-11-15,-3,-6190.976686269677,2,-4109.7273920276975
2021-11-16,1,2038.4934751314381,3,-2071.2339168962594
2021-11-17,0,-13.774712102386275,3,-2085.0086289986457
2021-11-18,1,2081.14850637799,4,-3.860122620655602
2021-11-23,0,89.4224869216041,4,85.5623643009485
2021-11-24,1,2047.530281647865,5,2133.0926459488137
2021-12-01,-2,-3904.970927795226,3,-1771.8782818464124
2021-12-02,-2,-3829.5298589185786,1,-5601.408140764991
2021-12-03,1,1950.1701890714733,2,-3651.237951693518
2021-12-07,2,3926.503761320826,4,275.26580962730804
2021-12-08,0,-17.595847818940683,4,257.66996180836736
2021-12-13,0,-27.383119200936335,4,230.28684260743103
2021-12-14,-1,-2110.223563210785,3,-1879.936720603354
2021-12-15,2,3910.66730122704,5,2030.730580623686
2021-12-16,0,-110.1481889702593,5,1920.5823916534266
2021-12-17,0,22.937716847351112,5,1943.5201085007777
2021-12-20,0,-17.286753413224233,5,1926.2333550875535
2021-12-23,0,-50.499131263098434,5,1875.734223824455
2021-12-27,0,-26.3742909260111,5,1849.359932898444
2021-12-28,0,4.6628706727397,5,1854.0228035711837
2021-12-29,0,-12.209508788533412,5,1841.8132947826502
2021-12-30,-1,-2053.297578234133,4,-211.48428345148295
2022-01-04,1,2034.828514452638,5,1823.344231001155
2022-01-05,0,140.1148389347518,5,1963.4590699359069
2022-01-07,0,-23.913360520847164,5,1939.5457094150597
2022-01-10,0,12.78548501272553,5,1952.3311944277852
2022-01-11,-1,-2109.1809092501594,4,-156.84971482237415
2022-01-12,-1,-2118.1558081402777,3,-2275.005522962652
2022-01-13,1,2080.1171659222377,4,-194.88835704041412
2022-01-14,1,2069.004178158501,5,1874.1158211180868
2022-01-19,-1,-1869.666522679112,4,4.449298438974893
2022-01-20,1,2012.654613239108,5,2017.1039116780828
2022-01-21,-1,-1841.1436228555167,4,175.9602888225661
