ticker,trades,net_pnl,gross_profit,gross_loss,wins,losses,win_rate,profit_factor,pnl_share
ZS,1,1.731824160986207,1.731824160986207,0.0,1,0,1.0,,0.00036336510219567606
EXE,1,1.4808548823968977,1.4808548823968977,0.0,1,0,1.0,,0.0003107076329115841
BXP,1,1.1715481437006474,1.1715481437006474,0.0,1,0,1.0,,0.000245810008055622
GE,5,0.8312678307632986,76.02965413527977,75.19838630451648,3,2,0.6,1.0110543307059419,0.00017441361951277777
PTC,3,0.37757350834249337,33.668822876884406,33.29124936854191,2,1,0.6666666666666666,1.0113415241393517,7.922111235999943e-05
VICI,2,-0.29792992457566925,3.7321630121369935,4.030092936712663,1,1,0.5,0.92607368384445,-6.251058273083552e-05
CI,6,-1.0225363063848363,105.86249311705865,106.88502942344348,3,3,0.5,0.9904333065921338,-0.00021454488154081964
INCY,5,-3.219399258240628,154.36256379439965,157.58196305264028,3,2,0.6,0.9795700015669612,-0.0006754827463621501
ORCL,2,-3.3856035282674384,0.0,3.3856035282674384,0,2,0.0,0.0,-0.0007103551271292935
MSI,1,-3.587961467869036,0.0,3.587961467869036,0,1,0.0,0.0,-0.0007528131405118811
CPT,5,-3.7804730798224,32.225958637000645,36.006431716823045,3,2,0.6,0.8950056170643514,-0.0007932052329235341
TEL,6,-4.060769338583437,54.20996412297916,58.2707334615626,5,1,0.8333333333333334,0.9303120263405975,-0.0008520159834628791
AWK,5,-4.819907058983173,41.868785858439196,46.68869291742237,3,2,0.6,0.8967650033058737,-0.0010112955232497358
PPG,1,-4.82686770048258,0.0,4.82686770048258,0,1,0.0,0.0,-0.0010127559799558829
DOV,3,-4.995084124979272,117.2312271446333,122.22631126961257,2,1,0.6666666666666666,0.9591324971432633,-0.0010480505437200375
DPZ,2,-5.106078151374163,2.481789018075005,7.587867169449169,1,1,0.5,0.3270733346608079,-0.0010713389102024189
NDAQ,1,-6.993167748094379,0.0,6.993167748094379,0,1,0.0,0.0,-0.00146728124638865
NWSA,2,-7.10104158035972,22.910386162085278,30.011427742444997,1,1,0.5,0.7633887450707066,-0.0014899149449871343
RMD,1,-7.9042930659586546,0.0,7.9042930659586546,0,1,0.0,0.0,-0.0016584502759570375
PRU,6,-8.934205216826513,71.90392331944213,80.83812853626864,3,3,0.5,0.8894803061550576,-0.0018745427305972106
APH,4,-9.500383836688684,39.5696388290512,49.070022665739884,2,2,0.5,0.8063912890074587,-0.0019933362875308833
GS,2,-9.840452685635,0.0,9.840452685635,0,2,0.0,0.0,-0.002064688307461461
SNA,2,-10.372924760828255,0.5168172660421533,10.889742026870408,1,1,0.5,0.047459091755057935,-0.0021764096787055026
DVA,7,-11.88387587279965,145.11478469381177,156.99866056661142,4,3,0.5714285714285714,0.9243058773246186,-0.0024934319940088682
RVTY,5,-13.307056818931756,97.96796889689278,111.27502571582454,3,2,0.6,0.8804129072689187,-0.0027920386895291245
