date,rsi_ob,rsi_os,equity,actual_date,running_max,drawdown,daily_return
303,60,45,5466.740614789001,2016-03-17,5629.113282449067,-0.02884515899978879,0.0031767890108100882
304,60,45,5511.736273761066,2016-03-18,5629.113282449067,-0.020851775901183145,0.008230801887753714
305,60,45,5475.067843529313,2016-03-21,5629.113282449067,-0.027365844528311367,-0.006652791137035097
306,60,45,5453.719194950891,2016-03-22,5629.113282449067,-0.031158386533991944,-0.0038992482264220696
307,60,45,5381.0873127111545,2016-03-23,5629.113282449067,-0.04406128590647285,-0.013317862479421239
308,60,45,5316.796149829684,2016-03-24,5629.113282449067,-0.05548247422789532,-0.011947615629577801
309,60,45,5330.041656664546,2016-03-28,5629.113282449067,-0.05312943811541182,0.0024912572273976252
310,60,45,5378.915076750773,2016-03-29,5629.113282449067,-0.04444717900390882,0.009169425538188003
311,60,45,5392.826526223214,2016-03-30,5629.113282449067,-0.04197583959849727,0.0025862928255868667
312,60,45,5390.371843811272,2016-03-31,5629.113282449067,-0.0424119087072139,-0.00045517548172679945
313,60,45,5421.770997067213,2016-04-01,5629.113282449067,-0.036833915925679306,0.005825044016581238
314,60,45,5432.139178872816,2016-04-04,5629.113282449067,-0.03499203048380528,0.0019123238165557055
315,60,45,5406.108977645422,2016-04-05,5629.113282449067,-0.03961624035866307,-0.004791887757337521
316,60,45,5470.489553902901,2016-04-06,5629.113282449067,-0.0281791679411989,0.011908856540572277
317,60,45,5440.449161813937,2016-04-07,5629.113282449067,-0.03351577969186781,-0.005491353523841669
318,60,45,5450.757151974617,2016-04-08,5629.113282449067,-0.03168458716767064,0.0018946946941496012
319,60,45,5459.690678535116,2016-04-11,5629.113282449067,-0.030097565178194507,0.0016389514908514702
320,60,45,5476.183417853064,2016-04-12,5629.113282449067,-0.027167665122821427,0.0030208193630438807
321,60,45,5511.10571642502,2016-04-13,5629.113282449067,-0.020963793070567838,0.006377123610963098
322,60,45,5511.10571642502,2016-04-14,5629.113282449067,-0.020963793070567838,0.0
323,60,45,5511.10571642502,2016-04-15,5629.113282449067,-0.020963793070567838,0.0
324,60,45,5505.9235395654,2016-04-18,5629.113282449067,-0.021884395765805364,-0.0009403152699785089
325,60,45,5508.204762038034,2016-04-19,5629.113282449067,-0.021479141446311356,0.0004143214950664831
326,60,45,5624.977232959922,2016-04-20,5629.113282449067,-0.0007347603932649216,0.021199733119340758
327,60,45,5479.613674568233,2016-04-21,5629.113282449067,-0.02655828731444365,-0.02584251497764667
328,60,45,5493.61135175401,2016-04-22,5629.113282449067,-0.02407162973918764,0.002554500739849974
329,60,45,5481.428470578447,2016-04-25,5629.113282449067,-0.02623589266378501,-0.0022176452601936347
330,60,45,5492.164556933224,2016-04-26,5629.113282449067,-0.02432864976138127,0.0019586292902302738
331,60,45,5481.572703004161,2016-04-27,5629.113282449067,-0.026210270080177733,-0.0019285390703911443
332,60,45,5486.580493529456,2016-04-28,5629.113282449067,-0.025320646746266662,0.0009135682032550552
333,60,45,5479.353017141513,2016-04-29,5629.113282449067,-0.026604592551812578,-0.001317300711520919
334,60,45,5461.235474976595,2016-05-02,5629.113282449067,-0.02982313537656034,-0.003306511208210128
335,60,45,5475.603255199947,2016-05-03,5629.113282449067,-0.027270729783986924,0.0026308662736089783
336,60,45,5462.652611316416,2016-05-04,5629.113282449067,-0.029571384120418376,-0.0023651538067941402
337,60,45,5457.581868693603,2016-05-05,5629.113282449067,-0.030472190760537643,-0.0009282564687179695
338,60,45,5400.69096262304,2016-05-06,5629.113282449067,-0.04057873920182453,-0.010424196546992115
339,60,45,5464.508621927985,2016-05-09,5629.113282449067,-0.029241667783503456,0.011816573054561408
340,60,45,5481.485602981539,2016-05-10,5629.113282449067,-0.026225743213911468,0.0031067717571950926
341,60,45,5483.159206637741,2016-05-11,5629.113282449067,-0.0259284310845892,0.00030531935636046725
342,60,45,5499.469659783759,2016-05-12,5629.113282449067,-0.023030913779888196,0.0029746451874448354
343,60,45,5467.013255790655,2016-05-13,5629.113282449067,-0.028796724905824966,-0.005901733439944046
