ticker,entry_date,exit_date,entry_price,entry_rsi,exit_price,exit_rsi,profit,profit_pct,days_held,exit_reason
ADSK,2022-10-06,2022-10-28,205.87,62.1,216.39,74.4,10.52,5.11,22,RSI OB
ADSK,2022-11-10,2022-11-23,222.96,62.4,197.07,51.4,-25.89,-11.61,13,SuperTrend
ADSK,2023-01-13,2023-01-23,200.59,64.6,211.29,74.9,10.7,5.33,10,RSI OB
ADSK,2023-05-18,2023-06-13,204.84,62.8,213.29,70.3,8.45,4.13,26,RSI OB
ADSK,2023-08-25,2023-09-06,215.92,64.6,222.2,75.6,6.28,2.91,12,RSI OB
ADSK,2023-11-30,2023-12-13,218.43,62.3,234.91,85.6,16.48,7.54,13,RSI OB
ADSK,2024-01-12,2024-01-23,242.44,50.8,252.78,73.1,10.34,4.26,11,RSI OB
ADSK,2024-06-05,2024-06-17,216.28,44.9,240.51,73.0,24.23,11.2,12,RSI OB
ADSK,2024-08-14,2024-08-22,246.22,53.6,249.91,70.5,3.69,1.5,8,RSI OB
ADSK,2024-09-13,2024-09-25,263.96,64.7,268.0,73.7,4.04,1.53,12,RSI OB
ADSK,2025-01-28,2025-01-31,309.93,67.3,311.34,79.5,1.41,0.45,3,RSI OB
ADSK,2025-12-02,2026-01-02,310.25,59.3,286.73,30.5,-23.52,-7.58,31,SuperTrend
ADSK,2026-03-03,2026-03-05,253.4,55.8,264.12,77.2,10.72,4.23,2,RSI OB
ADSK,2026-04-22,2026-06-08,247.57,57.7,225.04,37.0,-22.53,-9.1,47,SuperTrend
AEE,2015-09-24,2015-09-25,41.05,67.1,41.37,78.7,0.32,0.78,1,RSI OB
AEE,2015-12-29,2016-02-02,44.12,61.3,46.38,70.8,2.26,5.12,35,RSI OB
AEE,2016-05-05,2016-06-08,48.88,51.3,49.68,72.4,0.8,1.64,34,RSI OB
AEE,2016-09-21,2016-10-03,51.14,61.2,48.63,54.0,-2.51,-4.91,12,SuperTrend
AEE,2016-11-07,2016-11-10,50.81,65.6,47.8,46.5,-3.01,-5.92,3,SuperTrend
AEE,2016-12-12,2016-12-20,51.34,64.4,52.19,71.8,0.85,1.66,8,RSI OB
AEE,2017-07-20,2017-07-26,56.14,65.6,56.34,74.3,0.2,0.36,6,RSI OB
AEE,2017-10-16,2017-10-17,60.64,62.1,60.95,78.7,0.31,0.51,1,RSI OB
AEE,2018-02-15,2018-03-29,56.26,47.2,56.63,71.0,0.37,0.66,42,RSI OB
AEE,2018-05-24,2018-05-30,58.78,49.2,59.39,79.8,0.61,1.04,6,RSI OB
AEE,2018-06-25,2018-06-26,59.65,66.4,59.94,76.9,0.29,0.49,1,RSI OB
AEE,2018-10-08,2018-11-15,65.65,53.4,69.39,79.9,3.74,5.7,38,RSI OB
AEE,2019-05-13,2019-05-30,74.6,68.2,72.92,55.5,-1.68,-2.25,17,SuperTrend
AEE,2019-06-06,2019-06-19,76.53,63.1,76.9,73.7,0.37,0.48,13,RSI OB
AEE,2019-09-18,2019-09-26,78.48,62.1,80.38,75.3,1.9,2.42,8,RSI OB
AEE,2020-03-04,2020-03-12,87.07,55.2,72.4,32.5,-14.67,-16.85,8,SuperTrend
